,id,web,today,title,price,hours,tech,bz,lan,others,type,all_city,taipei_dist,address,weekday,weekends,start_time,end_time
0,0,臺大資訊系統訓練班,2020-07-16,網頁動畫與互動程式入門-HTML/CSS/JS/Sass/Pug [線上課程],2020.0,,WebDesign,,,0,online,,,,0.0,0.0,,
1,1,臺大資訊系統訓練班,2020-07-16,MATLAB程式設計,5000.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
2,2,臺大資訊系統訓練班,2020-07-16,Python Flask動態網站與聊天機器人實作班 [線上課程],2020.0,,Python,,,0,online,,,,0.0,0.0,,
3,3,臺大資訊系統訓練班,2020-07-16,Node.js + Firebase 全端實戰網站開發 [線上課程],2020.0,,WebDesign,,,0,online,,,,0.0,0.0,,
4,4,臺大資訊系統訓練班,2020-07-16,Java基礎程式設計班[線上課程],2020.0,,Java,,,0,online,,,,0.0,0.0,,
5,5,臺大資訊系統訓練班,2020-07-16,C#程式設計基礎班 [線上課程],2020.0,,C#,,,0,online,,,,0.0,0.0,,
6,6,臺大資訊系統訓練班,2020-07-16,Python程式設計 [線上課程],2020.0,,Python,,,0,online,,,,0.0,0.0,,
7,7,臺大資訊系統訓練班,2020-07-16,"HTML5, CSS3, jQuery, Bootstrap 網頁設計進階班",5000.0,,WebDesign,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,1.0,9:30,12:30
8,8,臺大資訊系統訓練班,2020-07-16,資料結構與C++進階班,5000.0,,C++,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
9,9,臺大資訊系統訓練班,2020-07-16,PHP+MySQL互動式網頁程式設計班,5000.0,,WebDesign,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,9:30,12:30
10,10,臺大資訊系統訓練班,2020-07-16,Java進階程式設計班,5000.0,,Java,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
11,11,臺大資訊系統訓練班,2020-07-16,資料結構與C++進階班,5000.0,,C++,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
12,12,臺大資訊系統訓練班,2020-07-16,Excel與VBA財務應用初階班,5000.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,9:30,12:30
13,13,臺大資訊系統訓練班,2020-07-16,當統計學與程式相遇,5000.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
14,14,臺大資訊系統訓練班,2020-07-16,資料結構與C++進階班,5000.0,,C++,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
15,15,臺大資訊系統訓練班,2020-07-16,C/C++基礎程式設計班,5000.0,,C++,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,19:00,22:00
16,16,臺大資訊系統訓練班,2020-07-16,網頁動畫與互動程式入門-HTML/CSS/JS/Sass/Pug,5000.0,,WebDesign,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
17,17,臺大資訊系統訓練班,2020-07-16,當統計學與程式相遇,5000.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
18,18,臺大資訊系統訓練班,2020-07-16,Python程式設計,5000.0,,Python,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,9:30,12:30
19,19,臺大資訊系統訓練班,2020-07-16,Python程式設計,5000.0,,Python,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,1.0,14:00,17:00
20,20,臺大資訊系統訓練班,2020-07-16,C++ 程式解題基礎實戰班,5000.0,,C++,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,0.0,1.0,9:00,12:00
21,21,臺大資訊系統訓練班,2020-07-16,C#程式設計基礎班,5000.0,,C#,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,0.0,1.0,13:00,16:00
22,22,臺大資訊系統訓練班,2020-07-16,Arduino入門開發班,3500.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,0.0,1.0,16:30,18:30
23,23,臺大資訊系統訓練班,2020-07-16,演算法實戰班,3500.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,0.0,1.0,16:30,18:30
24,24,臺大資訊系統訓練班,2020-07-16,Power BI 與數據分析初階班,3500.0,,,,,1,offline,taipei,大安區,台北市大安區辛亥路二段170號,0.0,1.0,16:30,18:30
25,25,臺大資訊系統訓練班,2020-07-16,"HTML5, CSS3, jQuery, Bootstrap 網頁設計進階班",5000.0,,WebDesign,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,1.0,9:30,12:30
26,26,臺大資訊系統訓練班,2020-07-16,Python程式設計,5000.0,,Python,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,1.0,9:30,12:30
27,27,臺大資訊系統訓練班,2020-07-16,Python 機器學習從零至一,5000.0,,Python,,,0,offline,taipei,大安區,台北市大安區辛亥路二段170號,1.0,0.0,14:00,17:00
